	(39117)
jumps	(2)
humour	(23)
waiting	(3)
court	(77)
obtaining	(2)
suits	(9)
whereof	(22)
lean	(17)
wardrobe	(3)
Sblood	(8)
am	(521)
melancholy	(12)
gib	(1)
cat	(6)
lugged	(1)
bear	(164)
Or	(206)
lion	(44)
lover	(4)
lute	(7)
drone	(2)
Lincolnshire	(1)
bagpipe	(1)
hare	(6)
Moor	(1)
ditch	(1)
unsavoury	(1)
similes	(1)
indeed	(83)
comparative	(2)
rascalliest	(1)
trouble	(19)
vanity	(12)
knew	(33)
commodity	(4)
names	(17)
bought	(21)
rated	(6)
street	(17)
about	(103)
sir	(192)
marked	(2)
yet	(316)
talked	(3)
wisely	(3)
regarded	(4)
didst	(53)
wisdom	(19)
cries	(14)
streets	(11)
man	(467)
regards	(2)
damnable	(2)
iteration	(1)
able	(27)
corrupt	(10)
saint	(10)
harm	(29)
forgive	(26)
Before	(75)
nothing	(107)
if	(572)
speak	(268)
little	(159)
better	(154)
than	(363)
wicked	(18)
over	(85)
life	(281)
villain	(53)
damned	(27)
never	(294)
Christendom	(13)
tomorrow	(2)
Jack	(54)
Zounds	(12)
make	(421)
baffle	(1)
amendment	(2)
praying	(4)
taking	(8)
vocation	(4)
labour	(31)
Poins	(21)
Gadshill	(7)
saved	(10)
merit	(9)
hole	(6)
hell	(69)
enough	(65)
omnipotent	(2)
cried	(25)
Stand	(32)
Good	(112)
morrow	(96)
Ned	(20)
says	(63)
Monsieur	(2)
Remorse	(1)
John	(200)
Sack	(2)
Sugar	(1)
agrees	(1)
soul	(204)
soldest	(1)
Friday	(2)
last	(88)
cup	(20)
Madeira	(1)
cold	(64)
capon	(3)
leg	(10)
stands	(48)
bargain	(7)
breaker	(3)
proverbs	(2)
keeping	(6)
Else	(10)
been	(186)
cozening	(2)
lads	(7)
four	(57)
o	(157)
clock	(25)
early	(10)
pilgrims	(1)
going	(18)
Canterbury	(17)
rich	(30)
offerings	(1)
traders	(1)
riding	(3)
vizards	(4)
horses	(17)
yourselves	(26)
lies	(62)
Rochester	(3)
bespoke	(1)
secure	(15)
sleep	(62)
If	(351)
stuff	(11)
full	(143)
crowns	(28)
tarry	(7)
home	(66)
hanged	(20)
Hear	(26)
ye	(155)
Yedward	(1)
You	(325)
chops	(2)
rob	(20)
There	(146)
neither	(35)
honesty	(15)
manhood	(11)
nor	(130)
fellowship	(7)
camest	(8)
royal	(128)
darest	(23)
stand	(153)
ten	(58)
shillings	(7)
once	(130)
days	(87)
madcap	(4)
traitor	(79)
leave	(200)
alone	(55)
reasons	(22)
spirit	(73)
persuasion	(4)
ears	(38)
profiting	(1)
speakest	(2)
move	(18)
hears	(8)
believed	(6)
recreation	(2)
sake	(52)
prove	(59)
poor	(152)
abuses	(2)
want	(49)
Farewell	(50)
find	(116)
latter	(7)
spring	(22)
farewell	(65)
hallown	(1)
summer	(28)
Exit	(217)
Falstaff	(48)
ride	(22)
jest	(27)
execute	(9)
cannot	(191)
manage	(9)
Bardolph	(59)
Peto	(9)
waylaid	(1)
booty	(3)
head	(217)
shoulders	(15)
setting	(6)
forth	(108)
before	(191)
appoint	(3)
place	(116)
meeting	(15)
wherein	(26)
pleasure	(54)
fail	(16)
exploit	(7)
themselves	(42)
sooner	(17)
achieved	(7)
habits	(3)
every	(132)
appointment	(3)
ourselves	(26)
Tut	(18)
tie	(3)
wood	(6)
change	(31)
sirrah	(17)
cases	(2)
buckram	(8)
nonce	(2)
immask	(1)
noted	(6)
outward	(14)
garments	(7)
doubt	(66)
hard	(44)
cowards	(14)
turned	(12)
back	(118)
third	(17)
longer	(30)
sees	(15)
forswear	(6)
virtue	(37)
incomprehensible	(1)
same	(83)
rogue	(31)
thirty	(12)
least	(27)
fought	(26)
wards	(1)
blows	(28)
extremities	(1)
endured	(4)
reproof	(6)
provide	(9)
things	(56)
necessary	(5)
sup	(7)
uphold	(2)
unyoked	(2)
idleness	(4)
Yet	(120)
herein	(9)
imitate	(4)
permit	(6)
base	(61)
contagious	(7)
clouds	(22)
smother	(9)
world	(198)
please	(103)
Being	(31)
wanted	(2)
wonder	(28)
breaking	(7)
through	(78)
foul	(70)
ugly	(12)
mists	(1)
vapours	(4)
seem	(40)
strangle	(2)
year	(31)
playing	(3)
holidays	(1)
sport	(17)
tedious	(18)
work	(48)
seldom	(10)
wish	(70)
pleaseth	(8)
accidents	(2)
loose	(11)
behavior	(4)
throw	(28)
debt	(11)
promised	(21)
falsify	(1)
hopes	(23)
bright	(18)
metal	(7)
sullen	(8)
ground	(66)
reformation	(5)
glittering	(4)
er	(182)
fault	(46)
show	(92)
goodly	(16)
attract	(1)
foil	(6)
offend	(13)
offence	(22)
skill	(9)
Redeeming	(1)
III	(268)
temperate	(4)
Unapt	(1)
stir	(26)
indignities	(3)
found	(42)
accordingly	(3)
tread	(17)
patience	(37)
sure	(58)
henceforth	(13)
rather	(56)
myself	(162)
Mighty	(1)
fear	(230)
condition	(22)
oil	(5)
soft	(21)
therefore	(124)
lost	(85)
title	(63)
respect	(29)
proud	(79)
ne	(73)
pays	(4)
house	(115)
sovereign	(116)
deserves	(5)
scourge	(11)
greatness	(35)
Have	(133)
holp	(6)
portly	(2)
get	(63)
gone	(96)
Danger	(1)
disobedience	(2)
thine	(133)
eye	(98)
presence	(54)
peremptory	(6)
might	(108)
endure	(22)
moody	(8)
frontier	(1)
servant	(27)
need	(62)
Your	(179)
counsel	(47)
send	(65)
North	(1)
Those	(19)
highness	(115)
name	(216)
demanded	(2)
Were	(57)
strength	(44)
denied	(11)
deliver	(36)
Either	(21)
misprison	(1)
Is	(237)
guilty	(34)
deny	(36)
remember	(52)
When	(182)
dry	(17)
rage	(51)
extreme	(4)
toil	(13)
Breathless	(2)
faint	(20)
leaning	(3)
sword	(122)
certain	(48)
neat	(4)
trimly	(1)
dress	(10)
Fresh	(2)
bridegroom	(1)
chin	(6)
reap	(8)
Show	(11)
stubble	(1)
land	(125)
harvest	(8)
He	(338)
perfumed	(3)
milliner	(1)
twixt	(14)
finger	(17)
thumb	(3)
held	(26)
pouncet	(1)
box	(7)
anon	(26)
gave	(61)
nose	(15)
t	(141)
away	(217)
therewith	(2)
angry	(26)
Took	(3)
snuff	(2)
still	(136)
smiled	(5)
talk	(56)
soldiers	(92)
bore	(6)
bodies	(23)
untaught	(2)
knaves	(10)
unmannerly	(6)
bring	(81)
slovenly	(1)
unhandsome	(1)
corse	(10)
wind	(47)
nobility	(22)
With	(304)
holiday	(4)
lady	(98)
terms	(31)
amongst	(11)
rest	(126)
behalf	(21)
smarting	(1)
wounds	(33)
pester	(1)
popinjay	(1)
Out	(44)
grief	(90)
impatience	(6)
Answer	(3)
neglectingly	(1)
made	(226)
shine	(13)
brisk	(2)
smell	(7)
gentlewoman	(7)
guns	(2)
drums	(20)
mark	(39)
telling	(9)
st	(208)
thing	(97)
earth	(112)
parmaceti	(1)
inward	(12)
great	(250)
pity	(62)
villanous	(9)
salt	(9)
petre	(1)
digg	(5)
bowels	(13)
harmless	(8)
tall	(7)
fellow	(78)
destroy	(10)
cowardly	(6)
vile	(37)
bald	(5)
unjointed	(1)
chat	(3)
indirectly	(4)
beseech	(51)
report	(21)
Come	(204)
current	(16)
accusation	(3)
love	(336)
circumstance	(9)
consider	(15)
Whate	(5)
person	(64)
May	(57)
reasonably	(1)
die	(158)
rise	(30)
wrong	(81)
impeach	(5)
unsay	(3)
proviso	(1)
exception	(2)
ransom	(36)
straight	(47)
His	(194)
brother	(200)
foolish	(21)
wilfully	(2)
betray	(13)
lives	(78)
lead	(32)
magician	(2)
damn	(11)
Hath	(90)
married	(21)
coffers	(6)
Be	(135)
emptied	(1)
redeem	(11)
treason	(51)
indent	(2)
fears	(27)
forfeited	(2)
barren	(9)
mountains	(8)
starve	(6)
ask	(37)
penny	(12)
cost	(17)
revolted	(5)
Revolted	(1)
fall	(117)
chance	(20)
Needs	(3)
mouthed	(3)
valiantly	(3)
Severn	(5)
sedgy	(1)
bank	(6)
single	(13)
opposition	(2)
hand	(292)
confound	(7)
best	(103)
changing	(5)
hardiment	(1)
Three	(16)
times	(78)
breathed	(11)
three	(74)
drink	(44)
agreement	(1)
swift	(14)
flood	(18)
affrighted	(3)
looks	(76)
Ran	(1)
fearfully	(3)
among	(18)
trembling	(10)
reeds	(1)
hid	(8)
crisp	(1)
hollow	(23)
Bloodstained	(1)
combatants	(4)
Never	(31)
rotten	(9)
policy	(19)
Colour	(1)
working	(10)
deadly	(21)
Receive	(5)
willingly	(12)
slander	(14)
revolt	(17)
dost	(98)
belie	(5)
encounter	(18)
durst	(17)
Owen	(8)
enemy	(65)
Art	(18)
ashamed	(8)
Let	(194)
Send	(11)
speediest	(1)
means	(78)
kind	(64)
displease	(1)
licence	(5)
departure	(9)
Henry	(226)
train	(24)
roar	(11)
ease	(23)
heart	(299)
Albeit	(3)
hazard	(10)
drunk	(13)
choler	(10)
stay	(115)
pause	(17)
comes	(135)
Re	(65)
enter	(109)
