	(51557)
accordingly	(3)
Lo	(15)
lay	(88)
hands	(126)
themselves	(60)
whores	(4)
ld	(43)
Saw	(4)
Was	(82)
madam	(132)
was	(665)
disposed	(10)
mirth	(15)
sudden	(28)
thought	(136)
struck	(39)
Enobarbus	(14)
Madam	(61)
Seek	(12)
bring	(141)
hither	(108)
service	(89)
My	(552)
approaches	(8)
look	(245)
upon	(506)
first	(164)
came	(86)
into	(185)
field	(69)
Against	(42)
brother	(160)
Lucius	(82)
Ay	(263)
soon	(48)
end	(102)
state	(113)
Made	(24)
joining	(1)
force	(28)
gainst	(39)
Whose	(94)
issue	(33)
Italy	(20)
encounter	(20)
drave	(3)
what	(956)
bad	(50)
news	(99)
infects	(1)
teller	(1)
concerns	(7)
coward	(26)
Things	(14)
past	(53)
done	(285)
Tis	(245)
Who	(274)
tells	(11)
true	(242)
tale	(37)
lie	(120)
death	(316)
flatter	(20)
Labienus	(1)
This	(418)
stiff	(10)
Parthian	(4)
Extended	(1)
Asia	(1)
Euphrates	(1)
conquering	(4)
banner	(3)
shook	(9)
Syria	(6)
Lydia	(2)
Ionia	(1)
Whilst	(18)
wouldst	(53)
Speak	(80)
home	(116)
mince	(3)
tongue	(118)
Name	(5)
call	(222)
Rail	(1)
phrase	(15)
taunt	(2)
faults	(34)
With	(373)
licence	(2)
truth	(85)
malice	(26)
power	(136)
utter	(12)
forth	(134)
weeds	(20)
quick	(33)
minds	(25)
ills	(7)
told	(66)
earing	(1)
Fare	(28)
well	(566)
awhile	(46)
At	(83)
noble	(280)
Exit	(372)
From	(125)
Sicyon	(3)
ho	(112)
there	(579)
stays	(10)
appear	(49)
These	(75)
strong	(75)
fetters	(3)
break	(67)
Or	(230)
lose	(65)
myself	(163)
another	(122)
dead	(215)
died	(35)
Her	(57)
length	(12)
sickness	(18)
serious	(10)
Importeth	(1)
bears	(35)
Gives	(10)
letter	(86)
Forbear	(4)
spirit	(89)
gone	(191)
contempt	(17)
doth	(219)
often	(48)
hurl	(3)
ours	(38)
again	(276)
present	(85)
By	(241)
revolution	(2)
lowering	(1)
does	(153)
opposite	(11)
being	(178)
could	(209)
pluck	(39)
back	(140)
shoved	(1)
enchanting	(3)
off	(184)
Ten	(6)
thousand	(77)
harms	(8)
idleness	(6)
hatch	(9)
Re	(131)
enter	(175)
haste	(56)
hence	(119)
kill	(125)
women	(66)
mortal	(35)
unkindness	(11)
suffer	(37)
departure	(3)
word	(171)
Under	(26)
compelling	(1)
occasion	(23)
pity	(66)
cast	(43)
away	(220)
between	(81)
cause	(136)
esteemed	(3)
catching	(3)
least	(28)
noise	(54)
dies	(26)
instantly	(9)
twenty	(52)
times	(60)
poorer	(2)
